date,return
12/31/28,37.88
12/31/29,-11.91
12/31/30,-28.48
12/31/31,-47.07
12/31/32,-15.15
12/30/33,46.59
12/31/34,-5.94
12/31/35,41.37
12/31/36,27.92
12/31/37,-38.59
12/31/38,25.21
12/30/39,-5.45
12/31/40,-15.29
12/31/41,-17.86
12/31/42,12.43
12/31/43,19.45
12/30/44,13.8
12/31/45,30.72
12/31/46,-11.87
12/31/47,0
12/31/48,-0.65
12/31/49,10.26
12/30/50,21.78
12/31/51,16.46
12/31/52,11.78
12/31/53,-6.62
12/31/54,45.02
12/30/55,26.4
12/31/56,2.62
12/31/57,-14.31
12/31/58,38.06
12/31/59,8.48
12/30/60,-2.97
12/29/61,23.13
12/31/62,-11.81
12/31/63,18.89
12/31/64,12.97
12/31/65,9.06
12/30/66,-13.09
12/29/67,20.09
12/31/68,7.66
12/31/69,-11.36
12/31/70,0.1
12/31/71,10.79
12/29/72,15.63
12/31/73,-17.37
12/31/74,-29.72
12/31/75,31.55
12/31/76,19.15
12/30/77,-11.5
12/29/78,1.06
12/31/79,12.31
12/31/80,25.77
12/31/81,-9.73
12/31/82,14.76
12/30/83,17.27
12/31/84,1.4
12/31/85,26.33
12/31/86,14.62
12/31/87,2.03
12/30/88,12.4
12/29/89,27.25
12/31/90,-6.56
12/31/91,26.31
12/31/92,4.46
12/31/93,7.06
12/30/94,-1.54
12/29/95,34.11
12/31/96,20.26
12/31/97,31.01
12/31/98,26.67
12/31/99,19.53
12/29/00,-10.14
12/31/01,-13.04
12/31/02,-23.37
12/31/03,26.38
12/31/04,8.99
12/30/05,3
12/29/06,13.62
12/31/07,3.53
12/31/08,-38.49
12/31/09,23.45
12/31/10,12.78
12/30/11,0
12/31/12,13.41
12/31/13,29.6
12/31/14,11.39
12/31/15,-0.73
12/30/16,9.54
12/29/17,19.42
12/31/18,-6.24
12/31/19,28.88
1/9/20,1.36
